id,rule_id,rule_slug_name,feature_name,feature_slug_name,is_active,created_at,updated_at,description,feature_type,is_production
8a5f2f3c-5e6f-4ff8-8697-22163204e1dd,da8dbec4-e3a6-4128-a86e-51725a0fdadc,InstalledAppRule,count shady app,count_shady_app,true,2020-12-17 07:22,2020-12-17 07:22,Count of shady app exist in app_list,INTEGER,true
326e48cd-0a34-4f96-bf8b-947cd05b66c4,8c601497-68f9-40a3-8871-d9294aef1c86,IziDataRule,izi ratio id phone number total,izi_ratio_id_phone_number_total,true,2020-07-22 03:52,2020-07-22 03:52,IZI - Ratio of inquiries by NIK over inquiries by phone number in total,FLOAT,true
77ec3e3e-165f-4772-bf83-13153015cfad,a4a34a93-3f74-4818-991a-1fc8a0a0515e,FDCDataRule,count disbursed less than 500000,count_disbursed_less_than_500000,true,2020-07-22 03:52,2020-07-22 03:52,number of disbursed less than 5000000 the FDC contracts are filtered on aggreement date before submit date,INTEGER,true
0bd9ba00-f94c-466a-918d-a5fcdba2dcdf,a4a34a93-3f74-4818-991a-1fc8a0a0515e,FDCDataRule,count disbursed more than 500000,count_disbursed_more_than_500000,true,2020-07-22 03:52,2020-07-22 03:52,number of disbursed less than 5000000 the FDC contracts are filtered on aggreement date before submit date,INTEGER,true
dac645c0-b087-48ac-9d06-06e0a914d89b,a4a34a93-3f74-4818-991a-1fc8a0a0515e,FDCDataRule,product preference category,product_preference_category,true,2020-07-22 03:52,2020-07-22 03:52,Product preference category the FDC contracts are filtered on aggreement date before submit date,STRING,true
a586b944-a13c-47bb-b967-0fc2a0b8df69,a4a34a93-3f74-4818-991a-1fc8a0a0515e,FDCDataRule,weighted count paylater,weighted_count_paylater,true,2020-07-22 03:52,2020-07-22 03:52,weighted count paylater the FDC contracts are filtered on aggreement date before submit date,FLOAT,true
d99ebc5c-5191-4f43-bfb6-3b3df5fc41b6,8c601497-68f9-40a3-8871-d9294aef1c86,IziDataRule,izi ratio id phone number 07d,izi_ratio_id_phone_number_07d,true,2020-07-28 08:16,2020-07-28 08:16,IZI - Ratio of inquiries by NIK over inquiries by phone number in 7 days,FLOAT,true
daf731b3-dd5e-45ed-ad7a-2f4877a1b9e1,8c601497-68f9-40a3-8871-d9294aef1c86,IziDataRule,izi ratio id phone number 14d,izi_ratio_id_phone_number_14d,true,2020-07-28 08:16,2020-07-28 08:16,IZI - Ratio of inquiries by NIK over inquiries by phone number in 14 days,FLOAT,true
0f90f804-4653-4fc2-9baa-0fac4cec0e27,8c601497-68f9-40a3-8871-d9294aef1c86,IziDataRule,izi ratio id phone number 21d,izi_ratio_id_phone_number_21d,true,2020-07-28 08:16,2020-07-28 08:16,IZI - Ratio of inquiries by NIK over inquiries by phone number in 21 days,FLOAT,true
118ca333-26f4-4375-a324-fd329ddbc6fc,8c601497-68f9-40a3-8871-d9294aef1c86,IziDataRule,izi ratio id phone number 30d,izi_ratio_id_phone_number_30d,true,2020-07-28 08:16,2020-07-28 08:16,IZI - Ratio of inquiries by NIK over inquiries by phone number in 30 days,FLOAT,true
